*1000mm Rail Kit*	#FFFFFF	#000
26053-01	12	GT2 6.35mm Wide Open Belt (foot)

*Core Components Kit*	#383838	#fff
30526-01	6	Belt Clip
30677-03	6	Belt Sleeve
25286-17	6	Button Head Cap Screw M5 x 8
25286-21	3	Button Head Cap Screw M5 x 25
30547-01	1	Timing Belt, GT2 80T 6mm
25287-08	4	M5 Flat Washer
30265-04	4	Hex Nut M5 Nylon Locking
25285-37	4	Socket Head Screw M5 x 20

*1000mm Motor and Wiring Kit*	#CC3440	#fff
25311-06	1	Stepper Motor, NEMA 23 140 oz/in conn/pulley
